ID,Make,Model,Year,Color,Price,Mileage,Fuel Type
1,Yamaha,YZF-R3,2020,Blue,5500,5000,Gasoline
2,Honda,CBR500R,2019,Red,6800,7000,Gasoline
3,Kawasaki,Ninja 400,2021,Green,6200,3000,Gasoline
4,Ducati,Panigale V4,2022,Red,28000,1500,Gasoline
5,BMW,S1000RR,2020,Black,19000,4000,Gasoline
6,Harley-Davidson,Iron 883,2018,Gray,10000,12000,Gasoline
7,Suzuki,GSX-R600,2019,Blue,11500,6000,Gasoline
8,KTM,Duke 390,2021,Orange,5800,2500,Gasoline
9,Triumph,Street Triple,2020,Silver,12000,5000,Gasoline
10,Royal Enfield,Classic 350,2019,Black,4800,8000,Gasoline
